Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1974,64010,64119,64144,64191,64328,64365,64348,64291,64188,64146,63733,63093
1975,62669,62171,61894,61665,61797,61737,61909,62283,62404,62640,62782,63071
1976,63534,63835,64061,64307,64341,64413,64554,64697,64921,64883,65167,65373
1977,65634,65932,66341,66653,66956,67281,67535,67747,68129,68337,68658,68872
1978,68983,69277,69729,70365,70675,71098,71303,71592,71802,72098,72497,72760
1979,72871,73108,73523,73440,73799,74063,74067,74071,74199,74345,74400,74492
1980,74599,74657,74698,74266,73966,73660,73422,73689,73883,74104,74356,74570
1981,74673,74759,74918,75023,75098,75331,75426,75455,75446,75311,75093,74822
1982,74524,74552,74410,74140,74104,73849,73631,73433,73260,72951,72809,72790
1983,72967,72913,73085,73374,73639,74001,74426,74113,75205,75534,75878,76222
1984,76663,77132,77399,77717,77995,78352,78617,78808,79089,79355,79671,79825
1985,80036,80154,80447,80608,80838,80961,81028,81221,81407,81579,81769,81915
1986,82017,82088,82179,82356,82458,82376,82694,82788,83024,83152,83303,83488
1987,83633,83883,84100,84390,84616,84776,85087,85248,85512,85869,86073,86314
1988,86388,86825,87042,87280,87481,87811,88056,88130,88379,88606,88871,89162
1989,89387,89615,89799,89951,90037,90115,90164,90131,90342,90443,90695,90761
1990,91048,91258,91350,91309,91240,91300,91264,91159,91081,90924,90764,90698
1991,90581,90252,90086,89879,89751,89773,89694,89743,89793,89764,89669,89687
1992,89681,89622,89650,89780,89896,89953,89976,90042,90130,90311,90431,90617
1993,90893,91142,91087,91358,91617,91780,91995,92178,92407,92691,92916,93205
1994,93448,93631,94052,94363,94657,94964,95309,95590,95910,96114,96502,96777
1995,97104,97290,97480,97635,97631,97841,97943,98205,98445,98567,98712,98854
1996,98866,99254,99461,99643,99957,100241,100468,100695,100843,101111,101396,101572
1997,101770,102077,102382,102683,102945,103154,103425,103476,103906,104191,104474,104783
1998,105042,105230,105372,105626,105969,106197,106275,106585,106767,106953,107187,107517
1999,107618,107976,108059,108360,108579,108817,109075,109194,109368,109720,109970,110232
2000,110434,110525,110863,111086,110958,111174,111369,111393,111618,111608,111796,111905
2001,111863,111883,111802,111471,111381,111162,110992,110810,110529,110179,109816,109627
2002,109475,109346,109286,109180,109120,109135,109046,108998,108955,109069,109034,108884
2003,108954,108820,108622,108582,108629,108588,108558,108593,108750,108896,108939,109042
2004,109231,109275,109554,109797,110080,110192,110242,110311,110458,110791,110811,110931
2005,111039,111288,111416,111764,111909,112179,112439,112635,112721,112826,113134,113270
2006,113582,113859,114144,114286,114318,114403,114547,114683,114761,114784,114980,115161
2007,115382,115427,115644,115667,115800,115862,115867,115789,115816,115877,115950,116016
2008,116015,115907,115832,115585,115375,115170,114923,114646,114216,113723,112985,112283
2009,111476,110736,109952,109140,108858,108432,108147,107948,107793,107521,107524,107306
2010,107299,107222,107361,107541,107654,107771,107858,108002,108110,108328,108463,108556
2011,108583,108838,109096,109418,109574,109775,109950,110108,110375,110564,110723,110942
2012,111304,111565,111809,111903,112023,112077,112246,112415,112593,112774,112950,113185
2013,113394,113660,113810,114002,114229,114434,114571,114797,114980,115210,115461,115553
2014,115734,115889,116135,116440,116679,116942,117168,117402,117669,117901,118177,118430
2015,118608,118861,118940,119189,119513,119684,119951,120066,120241,120531,120743,121000
2016,121091,121279,121476,121667,121693,121970,122232,122380,122630,122776,122924,123111
2017,123304,123475,123609,123816,123961,124163,124371,124553,124580,124841,125022,125195
2018,125307,125652,125841,125977,126235,126424,126566,126774,126870,127082,127191,127392
2019,127628,127598,127739,127919,127989,128158,128306,128445,128639,128832,129042,129190
2020,129445,129688,128066,108335,111680,116487,118010,119076,120008,120962,121321,121117
